,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
83, Wichita St., Amer, 30, 16, 108.6, 99.1, .7424, 50.7, 47.2, 18.6, 17, 29.1, 28.6, 31.4, 25.6, 53.7, 45.2, 30.5, 33.4, 66.1, -4.5
84, Hofstra, CAA, 32, 24, 109.8, 100.1, .7421, 55.2, 46.2, 15.7, 18.5, 23, 31.3, 21.4, 25.2, 55.2, 46.1, 36.8, 30.9, 67.3, -2.2
85, Bradley, MVC, 33, 25, 107.4, 98.0, .7414, 52.9, 46.6, 17.9, 19.4, 29.2, 24, 27, 31.6, 52.7, 45.6, 35.5, 32.2, 65.2, -0.8
86, Pittsburgh, ACC, 33, 22, 114.2, 104.5, .7370, 53.2, 49.2, 16.4, 16.7, 30.4, 28.2, 32.4, 30.6, 52.7, 48.6, 36, 33.4, 67.3, -0.6
87, Louisiana Lafayette, SB, 30, 26, 112.8, 103.3, .7350, 53, 50.6, 17.5, 18.1, 33.8, 26.4, 37.7, 33.8, 52.2, 49.2, 36.6, 35.9, 68.5, -0.3
88, Wake Forest, ACC, 33, 19, 112.5, 103.0, .7327, 54.2, 51.6, 17.1, 17.3, 24.8, 26.6, 32.1, 26.7, 54, 51, 36.4, 35, 69.5, -3.3
89, St. John's, BE, 33, 18, 108.0, 99.1, .7290, 49.4, 50.2, 18.7, 19.7, 34, 27.6, 27.7, 29.6, 49.3, 49.2, 33.1, 34.5, 73.4, -2.9
90, Marshall, SB, 31, 24, 110.5, 101.5, .7275, 52.6, 47.7, 15.5, 20.1, 31.7, 32.6, 26.2, 28, 53.9, 47.7, 33.6, 31.9, 72.1, -2.4
91, UNLV, MWC, 30, 19, 107.5, 98.8, .7256, 49, 52, 17.5, 25, 27.9, 31.1, 36.4, 30.9, 48, 50.7, 33.6, 35.7, 69.7, -2
92, Indiana St., MVC, 33, 22, 110.7, 101.8, .7246, 56.4, 48.2, 16.7, 17.5, 21.7, 22.7, 31.9, 31.4, 58.8, 48.5, 35.7, 31.8, 70.8, -6.3
93, South Alabama, SB, 33, 19, 108.8, 100.2, .7212, 52.8, 46.6, 14.6, 16.1, 20.9, 28.4, 22.3, 28.3, 53.4, 47.9, 34.5, 29, 65.5, -7.7
94, Furman, SC, 31, 27, 114.3, 105.3, .7183, 55.6, 50.6, 15.8, 18.4, 29.6, 27.1, 34.7, 31.8, 59.1, 51.2, 34.4, 33.1, 68.4, -1.8
95, UC Irvine, BW, 31, 23, 107.0, 98.8, .7152, 52, 45.2, 17.5, 17.5, 26.9, 26.2, 29.4, 36.2, 49.9, 44.3, 37.7, 31.4, 69.3, -3.4
96, Saint Louis, A10, 31, 21, 111.3, 103.3, .7030, 52, 47.8, 17.2, 15.3, 29.9, 26.3, 29.1, 32.6, 51.8, 46.1, 34.9, 33.7, 69, -2.5
97, San Jose St., MWC, 31, 20, 110.7, 102.7, .7025, 50.7, 48.7, 18.7, 13.2, 34.3, 24.3, 27.7, 28.8, 51.6, 46.9, 33, 34.6, 62.7, -1
98, Tulane, Amer, 29, 19, 110.5, 102.8, .6960, 53.2, 50.5, 14.9, 19.7, 18.7, 30.3, 35.5, 29.7, 54.3, 48.9, 34.3, 35.2, 73, -1.8
99, Temple, Amer, 31, 16, 108.5, 101.1, .6945, 50.1, 48.6, 19.8, 16.7, 28.6, 28.9, 35.1, 32.1, 50.4, 47.9, 33.2, 33.3, 66.1, -4.9
100, Montana St., BSky, 32, 25, 106.1, 98.9, .6921, 50.9, 49.4, 17.6, 20.1, 25.7, 25.5, 44.4, 35.5, 52.4, 48, 32, 34.8, 66.3, -2.5
101, San Francisco, WCC, 33, 20, 110.2, 102.8, .6915, 53.6, 49.9, 19.6, 17.6, 28.5, 26.5, 32.2, 38.1, 52.6, 49.4, 36.4, 33.8, 68.7, -3.2
102, Vermont, AE, 31, 22, 111.0, 103.5, .6905, 55, 51, 14.4, 16.7, 19.5, 22.2, 28, 26.5, 55.4, 50.1, 36.4, 35, 64.7, -3.7
103, Southern Miss, SB, 29, 25, 107.6, 100.9, .6780, 51.2, 47.6, 17.5, 19.7, 30.9, 28.7, 32.8, 30.4, 52.4, 47.2, 32.7, 32.2, 68.4, -0.5
104, Nebraska, B10, 32, 16, 106.3, 99.8, .6719, 51.7, 49.9, 18.6, 17.7, 24.7, 28.3, 28.2, 21.9, 53.4, 49, 32.6, 34.1, 66.8, -2.2
105, Colorado St., MWC, 32, 15, 111.9, 105.2, .6702, 54.8, 52.2, 16.7, 17.9, 19.6, 27.1, 29.8, 29.6, 55.8, 51, 35.5, 35.8, 66.3, -6
106, UNC Greensboro, SC, 30, 20, 104.0, 98.0, .6642, 50.6, 47.8, 17.8, 19.3, 29.2, 26.5, 32.4, 31.4, 49.3, 46.8, 35.1, 32.8, 65.8, -5.9
107, Colgate, Pat, 33, 26, 113.0, 106.5, .6639, 58.6, 51.9, 14.9, 17.6, 24.9, 24.1, 27.6, 20.3, 57.1, 51.5, 40.9, 34.9, 67.7, -3.4
108, Akron, MAC, 29, 21, 108.9, 103.0, .6533, 51.2, 50.1, 16.3, 18.1, 30, 26, 33.8, 27.1, 50.9, 48.4, 34.5, 35.4, 64.9, -4
109, Southern Utah, WAC, 27, 20, 110.0, 104.1, .6520, 52.1, 51.3, 19.2, 17.8, 28.2, 25.3, 41.4, 32.8, 51.8, 50.5, 35.1, 35.2, 71.9, -3.5
110, Cal St. Fullerton, BW, 28, 18, 104.6, 99.1, .6491, 49.6, 48.3, 17.8, 20.6, 26.1, 29.9, 39, 32.4, 46.4, 49.6, 36.4, 30.9, 64.6, -5.4
111, Duquesne, A10, 32, 20, 108.5, 102.9, .6487, 51, 50.2, 17.2, 20.9, 33.4, 33.2, 26.6, 35.1, 48.6, 48.8, 36.5, 35.3, 68.1, -5.7
112, Washington, P12, 32, 16, 104.8, 99.5, .6456, 48.8, 47.1, 19.9, 18.4, 26.4, 34.6, 31.7, 25.4, 50, 48.6, 31.3, 29.7, 69.1, -3.7
113, James Madison, SB, 30, 22, 106.0, 100.8, .6403, 51.5, 49.4, 18.6, 21.4, 31.3, 27.6, 38.9, 31.8, 51.4, 50.7, 34.5, 31.5, 70.5, -4.4
114, Mississippi, SEC, 33, 12, 106.9, 101.7, .6398, 47.5, 49.5, 18.3, 18, 33.3, 29.9, 29.2, 30.3, 48.6, 48.9, 30.3, 33.8, 66, -8.2
115, Princeton, Ivy, 25, 19, 108.2, 103.1, .6370, 52.6, 47.8, 17.3, 14.5, 27.8, 22.8, 31.8, 29.4, 54.2, 47.2, 33.6, 32.6, 67.7, -3.4
116, Kennesaw St., ASun, 31, 26, 106.8, 101.8, .6341, 52.9, 51.2, 17.9, 19.6, 27.5, 25.8, 36.5, 36.2, 51.3, 50.5, 37.1, 34.8, 68.5, -1.2
117, UC Santa Barbara, BW, 29, 24, 111.0, 106.1, .6266, 54.2, 49.8, 17.5, 18.8, 28, 26.1, 33.3, 28.5, 55.1, 48.5, 34.7, 35.2, 64.3, -1.6
118, UMass Lowell, AE, 31, 26, 108.8, 104.2, .6228, 53.9, 46.8, 20.1, 20.1, 35.9, 27.4, 33.6, 33.7, 52.3, 44.6, 38.2, 34.4, 68.7, -3.5
119, Penn, Ivy, 28, 17, 110.1, 105.4, .6225, 53.4, 49.1, 19, 14.9, 30.2, 27.6, 29.9, 31.3, 53, 49, 36, 32.8, 67, -5.4
120, Belmont, MVC, 31, 21, 111.2, 106.7, .6168, 55.3, 51.1, 16.8, 17.7, 25.4, 30, 24.3, 29.3, 53.2, 49.8, 38.9, 35.6, 68.4, -4.5
121, Charlotte, CUSA, 31, 18, 107.0, 102.7, .6162, 54.5, 50.1, 17.2, 17.8, 23.1, 23.7, 24.8, 25.5, 53.3, 49.1, 37.5, 34.4, 60.5, -6
122, Loyola Marymount, WCC, 30, 19, 108.8, 104.6, .6125, 53.1, 51.8, 18.3, 16.2, 30.2, 24.6, 31.6, 34.9, 51.9, 52, 36.5, 34.3, 67.2, -2.5
123, Tarleton St., WAC, 28, 17, 105.1, 101.2, .6076, 47.9, 52.8, 18.1, 23.9, 25.7, 29.9, 48.6, 47.2, 46.9, 51.8, 33.8, 36.1, 66.6, -6.9
124, Towson, CAA, 33, 21, 108.5, 104.7, .6023, 51.1, 48.6, 18.4, 17.7, 35.7, 26.7, 29.8, 29.5, 49, 47.7, 36.7, 33.2, 64.7, -5.8
125, Fresno St., MWC, 30, 11, 104.2, 100.7, .5959, 49.3, 51.2, 18.1, 19.7, 24.9, 28.2, 24.3, 32.1, 51.1, 48.3, 31.1, 37.3, 64.1, -9.5
126, Grand Canyon, WAC, 29, 21, 110.3, 106.6, .5950, 51.5, 47.2, 18.7, 15.6, 31.5, 30.7, 37.6, 32, 50, 46.7, 35.9, 32.3, 65, -4.3
127, Middle Tennessee, CUSA, 29, 18, 105.4, 102.2, .5887, 51.4, 51.2, 19.7, 22, 31.8, 29.7, 29.9, 34.8, 51.3, 49.8, 34.5, 36, 67.2, -5.4
128, Davidson, A10, 31, 16, 107.9, 104.7, .5863, 50.1, 50.8, 16.2, 17.3, 24.9, 27.8, 32.8, 26.7, 51.3, 51.5, 31.9, 33, 65.2, -8.2
129, Eastern Washington, BSky, 31, 22, 111.2, 107.9, .5857, 56.5, 49.9, 19.9, 15.9, 28.1, 25.9, 32.1, 29.6, 58.8, 50.7, 35.7, 32.5, 68.5, -3.8
